NumJour;Heure;WE;HBureau;Vacances;HScolaire;NbVehicules
6;0;1;0;1;0;6
6;1;1;0;1;0;4
6;2;1;0;1;0;7
6;3;1;0;1;0;7
6;4;1;0;1;0;3
6;5;1;0;1;0;3
6;6;1;0;1;0;7
6;7;1;0;1;0;4
6;8;1;1;1;0;5
6;9;1;1;1;0;2
6;10;1;1;1;0;7
6;11;1;1;1;0;11
6;12;1;1;1;0;14
6;13;1;1;1;0;11
6;14;1;1;1;0;7
6;15;1;1;1;0;16
6;16;1;1;1;0;14
6;17;1;1;1;0;10
6;18;1;1;1;0;19
6;19;1;0;1;0;16
6;20;1;0;1;0;14
6;21;1;0;1;0;12
6;22;1;0;1;0;7
6;23;1;0;1;0;7
7;0;1;0;1;0;6
7;1;1;0;1;0;1
7;2;1;0;1;0;16
7;3;1;0;1;0;13
7;4;1;0;1;0;11
7;5;1;0;1;0;7
7;6;1;0;1;0;2
7;7;1;0;1;0;4
7;8;1;1;1;0;6
7;9;1;1;1;0;7
7;10;1;1;1;0;18
7;11;1;1;1;0;17
7;12;1;1;1;0;15
7;13;1;1;1;0;18
7;14;1;1;1;0;11
7;15;1;1;1;0;15
7;16;1;1;1;0;13
7;17;1;1;1;0;20
7;18;1;1;1;0;19
7;19;1;0;1;0;11
7;20;1;0;1;0;22
7;21;1;0;1;0;14
7;22;1;0;1;0;9
7;23;1;0;1;0;4
1;0;0;0;0;0;6
1;1;0;0;0;0;6
1;2;0;0;0;0;5
1;3;0;0;0;0;5
1;4;0;0;0;0;3
1;5;0;0;0;0;5
1;6;0;0;0;0;9
1;7;0;0;0;0;33
1;8;0;1;0;1;45
1;9;0;1;0;0;20
1;10;0;1;0;0;20
1;11;0;1;0;0;28
1;12;0;1;0;0;40
1;13;0;1;0;0;36
1;14;0;1;0;0;24
1;15;0;1;0;0;24
1;16;0;1;0;0;27
1;17;0;1;0;0;31
1;18;0;1;0;1;42
1;19;0;0;0;0;28
1;20;0;0;0;0;23
1;21;0;0;0;0;13
1;22;0;0;0;0;6
1;23;0;0;0;0;5
2;0;0;0;0;0;5
2;1;0;0;0;0;6
2;2;0;0;0;0;5
2;3;0;0;0;0;5
2;4;0;0;0;0;5
2;5;0;0;0;0;5
2;6;0;0;0;0;9
2;7;0;0;0;0;31
2;8;0;1;0;1;74
2;9;0;1;0;0;38
2;10;0;1;0;0;34
2;11;0;1;0;0;25
2;12;0;1;0;0;32
2;13;0;1;0;0;30
2;14;0;1;0;0;32
2;15;0;1;0;0;24
2;16;0;1;0;0;23
2;17;0;1;0;0;34
2;18;0;1;0;1;40
2;19;0;0;0;0;29
2;20;0;0;0;0;17
2;21;0;0;0;0;9
2;22;0;0;0;0;8
2;23;0;0;0;0;23
3;0;0;0;0;0;13
3;1;0;0;0;0;1
3;2;0;0;0;0;0
3;3;0;0;0;0;1
3;4;0;0;0;0;1
3;5;0;0;0;0;3
3;6;0;0;0;0;7
3;7;0;0;0;0;31
3;8;0;1;0;1;53
3;9;0;1;0;0;36
3;10;0;1;0;0;27
3;11;0;1;0;0;37
3;12;0;1;0;0;26
3;13;0;1;0;0;28
3;14;0;1;0;0;20
3;15;0;1;0;0;21
3;16;0;1;0;0;28
3;17;0;1;0;0;30
3;18;0;1;0;1;34
3;19;0;0;0;0;29
3;20;0;0;0;0;19
3;21;0;0;0;0;13
3;22;0;0;0;0;6
3;23;0;0;0;0;3
4;0;0;0;0;0;3
4;1;0;0;0;0;1
4;2;0;0;0;0;0
4;3;0;0;0;0;1
4;4;0;0;0;0;1
4;5;0;0;0;0;3
4;6;0;0;0;0;13
4;7;0;0;0;0;26
4;8;0;1;0;1;48
4;9;0;1;0;0;32
4;10;0;1;0;0;33
4;11;0;1;0;0;32
4;12;0;1;0;0;38
4;13;0;1;0;0;31
4;14;0;1;0;0;19
4;15;0;1;0;0;19
4;16;0;1;0;0;26
4;17;0;1;0;0;31
4;18;0;1;0;1;44
4;19;0;0;0;0;26
4;20;0;0;0;0;21
4;21;0;0;0;0;9
4;22;0;0;0;0;7
4;23;0;0;0;0;3
5;0;0;0;0;0;4
5;1;0;0;0;0;0
5;2;0;0;0;0;1
5;3;0;0;0;0;1
5;4;0;0;0;0;2
5;5;0;0;0;0;3
5;6;0;0;0;0;15
5;7;0;0;0;0;29
5;8;0;1;0;1;47
5;9;0;1;0;0;42
5;10;0;1;0;0;32
5;11;0;1;0;0;30
5;12;0;1;0;0;37
5;13;0;1;0;0;31
5;14;0;1;0;0;32
5;15;0;1;0;0;22
5;16;0;1;0;0;99
5;17;0;1;0;0;31
5;18;0;1;0;1;46
5;19;0;0;0;0;38
5;20;0;0;0;0;22
5;21;0;0;0;0;19
5;22;0;0;0;0;6
5;23;0;0;0;0;3
6;0;1;0;0;0;2
6;1;1;0;0;0;2
6;2;1;0;0;0;4
6;3;1;0;0;0;1
6;4;1;0;0;0;1
6;5;1;0;0;0;5
6;6;1;0;0;0;5
6;7;1;0;0;0;10
6;8;1;1;0;0;15
6;9;1;1;0;0;22
6;10;1;1;0;0;23
6;11;1;1;0;0;26
6;12;1;1;0;0;26
6;13;1;1;0;0;18
6;14;1;1;0;0;19
6;15;1;1;0;0;20
6;16;1;1;0;0;27
6;17;1;1;0;0;22
6;18;1;1;0;0;31
6;19;1;0;0;0;23
6;20;1;0;0;0;11
6;21;1;0;0;0;13
6;22;1;0;0;0;6
6;23;1;0;0;0;7
7;0;1;0;0;0;3
7;1;1;0;0;0;2
7;2;1;0;0;0;3
7;3;1;0;0;0;1
7;4;1;0;0;0;0
7;5;1;0;0;0;1
7;6;1;0;0;0;2
7;7;1;0;0;0;5
7;8;1;1;0;0;8
7;9;1;1;0;0;8
7;10;1;1;0;0;15
7;11;1;1;0;0;21
7;12;1;1;0;0;21
7;13;1;1;0;0;16
7;14;1;1;0;0;7
7;15;1;1;0;0;7
7;16;1;1;0;0;14
7;17;1;1;0;0;22
7;18;1;1;0;0;24
7;19;1;0;0;0;21
7;20;1;0;0;0;16
7;21;1;0;0;0;14
7;22;1;0;0;0;5
7;23;1;0;0;0;4
1;0;0;0;0;0;5
1;1;0;0;0;0;6
1;2;0;0;0;0;5
1;3;0;0;0;0;5
1;4;0;0;0;0;5
1;5;0;0;0;0;3
1;6;0;0;0;0;8
1;7;0;0;0;0;34
1;8;0;1;0;1;128
1;9;0;1;0;0;26
1;10;0;1;0;0;26
1;11;0;1;0;0;24
1;12;0;1;0;0;30
1;13;0;1;0;0;34
1;14;0;1;0;0;27
1;15;0;1;0;0;23
1;16;0;1;0;0;28
1;17;0;1;0;0;34
1;18;0;1;0;1;45
1;19;0;0;0;0;24
1;20;0;0;0;0;16
1;21;0;0;0;0;6
1;22;0;0;0;0;7
1;23;0;0;0;0;4
2;0;0;0;0;0;5
2;1;0;0;0;0;3
2;2;0;0;0;0;5
2;3;0;0;0;0;5
2;4;0;0;0;0;7
2;5;0;0;0;0;7
2;6;0;0;0;0;7
2;7;0;0;0;0;36
2;8;0;1;0;1;55
2;9;0;1;0;0;36
2;10;0;1;0;0;31
2;11;0;1;0;0;29
2;12;0;1;0;0;32
2;13;0;1;0;0;33
2;14;0;1;0;0;28
2;15;0;1;0;0;20
2;16;0;1;0;0;30
2;17;0;1;0;0;31
2;18;0;1;0;1;31
2;19;0;0;0;0;22
2;20;0;0;0;0;20
2;21;0;0;0;0;8
2;22;0;0;0;0;7
2;23;0;0;0;0;8
3;0;0;0;0;0;4
3;1;0;0;0;0;2
3;2;0;0;0;0;5
3;3;0;0;0;0;5
3;4;0;0;0;0;6
3;5;0;0;0;0;5
3;6;0;0;0;0;14
3;7;0;0;0;0;30
3;8;0;1;0;1;41
3;9;0;1;0;0;35
3;10;0;1;0;0;24
3;11;0;1;0;0;35
3;12;0;1;0;0;32
3;13;0;1;0;0;28
3;14;0;1;0;0;20
3;15;0;1;0;0;18
3;16;0;1;0;0;25
3;17;0;1;0;0;28
3;18;0;1;0;1;33
3;19;0;0;0;0;30
3;20;0;0;0;0;15
3;21;0;0;0;0;12
3;22;0;0;0;0;9
3;23;0;0;0;0;5
4;0;0;0;0;0;2
4;1;0;0;0;0;0
4;2;0;0;0;0;1
4;3;0;0;0;0;0
4;4;0;0;0;0;1
4;5;0;0;0;0;3
4;6;0;0;0;0;7
4;7;0;0;0;0;41
4;8;0;1;0;1;55
4;9;0;1;0;0;34
4;10;0;1;0;0;25
4;11;0;1;0;0;24
4;12;0;1;0;0;28
4;13;0;1;0;0;18
4;14;0;1;0;0;24
4;15;0;1;0;0;19
4;16;0;1;0;0;22
4;17;0;1;0;0;31
4;18;0;1;0;1;27
4;19;0;0;0;0;33
4;20;0;0;0;0;16
4;21;0;0;0;0;10
4;22;0;0;0;0;10
4;23;0;0;0;0;5
5;0;0;0;0;0;3
5;1;0;0;0;0;1
5;2;0;0;0;0;9
5;3;0;0;0;0;9
5;4;0;0;0;0;7
5;5;0;0;0;0;4
5;6;0;0;0;0;12
5;7;0;0;0;0;33
5;8;0;1;0;1;55
5;9;0;1;0;0;36
5;10;0;1;0;0;21
5;11;0;1;0;0;32
5;12;0;1;0;0;30
5;13;0;1;0;0;29
5;14;0;1;0;0;24
5;15;0;1;0;0;26
5;16;0;1;0;0;23
5;17;0;1;0;0;28
5;18;0;1;0;1;50
5;19;0;0;0;0;33
5;20;0;0;0;0;21
5;21;0;0;0;0;12
5;22;0;0;0;0;8
5;23;0;0;0;0;7
6;0;1;0;0;0;2
6;1;1;0;0;0;3
6;2;1;0;0;0;2
6;3;1;0;0;0;0
6;4;1;0;0;0;2
6;5;1;0;0;0;3
6;6;1;0;0;0;6
6;7;1;0;0;0;12
6;8;1;1;0;0;13
6;9;1;1;0;0;19
6;10;1;1;0;0;32
6;11;1;1;0;0;23
6;12;1;1;0;0;22
6;13;1;1;0;0;19
6;14;1;1;0;0;20
6;15;1;1;0;0;19
6;16;1;1;0;0;23
6;17;1;1;0;0;23
6;18;1;1;0;0;28
6;19;1;0;0;0;21
6;20;1;0;0;0;18
6;21;1;0;0;0;11
6;22;1;0;0;0;7
6;23;1;0;0;0;7
7;0;1;0;0;0;7
7;1;1;0;0;0;6
7;2;1;0;0;0;3
7;3;1;0;0;0;1
7;4;1;0;0;0;1
7;5;1;0;0;0;1
7;6;1;0;0;0;6
7;7;1;0;0;0;7
7;8;1;1;0;0;5
7;9;1;1;0;0;5
7;10;1;1;0;0;26
7;11;1;1;0;0;21
7;12;1;1;0;0;16
7;13;1;1;0;0;10
7;14;1;1;0;0;16
7;15;1;1;0;0;12
7;16;1;1;0;0;16
7;17;1;1;0;0;18
7;18;1;1;0;0;17
7;19;1;0;0;0;24
7;20;1;0;0;0;14
7;21;1;0;0;0;16
7;22;1;0;0;0;5
7;23;1;0;0;0;2
1;0;0;0;0;0;3
1;1;0;0;0;0;2
1;2;0;0;0;0;5
1;3;0;0;0;0;5
1;4;0;0;0;0;3
1;5;0;0;0;0;4
1;6;0;0;0;0;7
1;7;0;0;0;0;29
1;8;0;1;0;1;51
1;9;0;1;0;0;28
1;10;0;1;0;0;36
1;11;0;1;0;0;26
1;12;0;1;0;0;33
